9.1353 	EXP 	grating: autoDraw = True
9.1390 	EXP 	fixation: autoDraw = False
9.3867 	EXP 	Device response: <KeyPress from None: t=9.380794542012154, value=left, duration=None>
9.3912 	DATA 	Keypress: left
9.3940 	EXP 	fixation: autoDraw = False
9.3940 	EXP 	grating: autoDraw = False
9.3940 	EXP 	grating: ori = np.float64(3.0)
9.3940 	EXP 	fixation: autoDraw = True
9.4867 	EXP 	Device response: <KeyPress from None: t=9.380794542012154, value=left, duration=0.10415912499593105>
9.8855 	INFO 	Keyboard events cleared
9.8853 	EXP 	grating: autoDraw = True
9.8903 	EXP 	fixation: autoDraw = False
10.1717 	EXP 	grating: autoDraw = False
10.2866 	EXP 	Device response: <KeyPress from None: t=10.28263600000355, value=left, duration=None>
10.2912 	DATA 	Keypress: left
10.2939 	EXP 	fixation: autoDraw = False
10.2939 	EXP 	grating: autoDraw = False
10.2939 	EXP 	grating: ori = np.float64(-4.0)
10.2939 	EXP 	fixation: autoDraw = True
10.4366 	EXP 	Device response: <KeyPress from None: t=10.28263600000355, value=left, duration=0.14826783300668467>
10.4775 	WARNING 	t of last frame was 35.59ms (=1/28)
10.7854 	INFO 	Keyboard events cleared
10.7852 	EXP 	grating: autoDraw = True
10.7889 	EXP 	fixation: autoDraw = False
11.0720 	EXP 	grating: autoDraw = False
11.2232 	EXP 	Device response: <KeyPress from None: t=11.220611042008386, value=right, duration=None>
11.2274 	DATA 	Keypress: right
11.2354 	EXP 	fixation: autoDraw = False
11.2354 	EXP 	grating: autoDraw = False
11.2354 	EXP 	grating: ori = np.float64(-5.0)
11.2354 	EXP 	fixation: autoDraw = True
11.3865 	EXP 	Device response: <KeyPress from None: t=11.220611042008386, value=right, duration=0.1642732500040438>
11.7227 	INFO 	Keyboard events cleared
11.7226 	EXP 	fixation: autoDraw = False
11.7226 	EXP 	grating: autoDraw = True
12.0187 	EXP 	grating: autoDraw = False
12.3038 	EXP 	Device response: <KeyPress from None: t=12.301585875000455, value=left, duration=None>
12.3085 	DATA 	Keypress: left
12.3115 	EXP 	fixation: autoDraw = False
12.3115 	EXP 	grating: autoDraw = False
12.3115 	EXP 	grating: ori = np.float64(5.0)
12.3115 	EXP 	fixation: autoDraw = True
12.4700 	EXP 	Device response: <KeyPress from None: t=12.301585875000455, value=left, duration=0.15619579200574663>
12.8021 	INFO 	Keyboard events cleared
12.8020 	EXP 	grating: autoDraw = True
12.8061 	EXP 	fixation: autoDraw = False
13.0892 	EXP 	grating: autoDraw = False
13.2704 	EXP 	Device response: <KeyPress from None: t=13.256485833000625, value=right, duration=None>
13.2758 	DATA 	Keypress: right
13.2786 	EXP 	fixation: autoDraw = False
13.2786 	EXP 	grating: autoDraw = False
13.2786 	EXP 	grating: ori = np.float64(-5.0)
13.2786 	EXP 	fixation: autoDraw = True
13.4704 	EXP 	Device response: <KeyPress from None: t=13.256485833000625, value=right, duration=0.20843108400003985>
