stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
25,0.5,3.5,24.094944667012896,,24.087777084001573,24.094944667012896,24.585182334005367,24.585182334005367,24.589144209006918,24.871294292010134,25.07023491700238,right,3.5,1,1,0.47814074899361003,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
26,0.5,3.5,25.077550250003696,,25.070612417010125,25.077550250003696,25.568677667004522,25.568677667004522,25.572389500011923,25.855518792013754,26.08739041700028,right,3.5,1,1,0.5076752500026487,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
27,0.5,3.5,26.095196624999517,,26.08782016701298,26.095196624999517,26.585409209001227,26.585409209001227,26.59040058401297,26.87164345900237,27.137264959004824,right,3.5,1,1,0.5487670830043498,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
28,0.5,3.0,27.14468945900444,,27.137636500003282,27.14468945900444,27.63527220900869,27.63527220900869,27.638716000001295,27.921272334002424,28.139363125010277,right,3.0,1,1,0.5030345830018632,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
29,0.5,3.0,28.152095875004306,,28.139617875000113,28.152095875004306,28.635439500008943,28.635439500008943,28.64024808400427,28.922140875001787,29.304152834010893,right,3.0,1,1,0.6647436659986852,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
30,0.5,3.0,29.311461625009542,,29.304484209002112,29.311461625009542,29.801887792011257,29.801887792011257,29.805658875004156,30.089198375004344,30.33734229201218,left,-3.0,1,1,0.5283886660035932,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
31,0.5,2.5,30.344793292009854,,30.337787417010986,30.344793292009854,30.835426834004465,30.835426834004465,30.83997862500837,31.12213379199966,31.386885625004652,right,2.5,1,1,0.5467557490046602,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
32,0.5,2.5,31.394050667004194,,31.38724062500114,31.394050667004194,31.88536150001164,31.88536150001164,31.88893545900646,32.171779750002315,32.62064645900682,right,2.5,1,1,0.7278408749989467,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
33,0.5,2.5,32.62826720900193,,32.62112200001138,32.62826720900193,33.11873529200966,33.11873529200966,33.12381600000663,33.40582937501313,33.50357379201159,left,-2.5,0,0,0.37234837499272544,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
34,0.5,3.0,33.51144800000475,,33.50402250001207,33.51144800000475,34.002126875013346,34.002126875013346,34.006469917003415,34.28915795900684,34.37400912500743,left,-3.0,1,1,0.36693554199882783,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
35,0.5,3.0,34.38530908401299,,34.37426370900357,34.38530908401299,34.87390541700006,34.87390541700006,34.87390541700006,,35.13751487500849,right,3.0,0,0,0.2581214999954682,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
36,0.5,3.5,35.142358125012834,,35.13808462501038,35.142358125012834,35.63552929200523,35.63552929200523,35.63988287500979,35.92213304201141,36.187010709007154,right,3.5,1,1,0.5375325409986544,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
