delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0.4,400.0,unexp,130,10,10,space,0.5399422079790384,None,500,1,[2.25935466599185],[2.2593591249897145],10,10,130,1,642.096349917003,,642.0886962920194,642.096349917003,643.0874917920446,643.0874917920446,643.0874917920446,643.6323637920432,space,0.5399422079790384,None,643.6337003340013,644.036993875696,644.3461798750213,644.3254145000246,644.3274770840071,644.3461798750213,644.3461798750213,644.3461798750213,646.6059041670524,500,1,[2.25935466599185],[2.2593591249897145],p001,001,2025-11-12_10h35.26.886,intentional binding,,2025.1.1,None,2025-11-12 10h35.36.129666 +0530,
0.4,1000.0,exp,131,11,10,space,1.154393250006251,None,200,1,[1.8411291249794886],[1.841133332985919],10,11,131,4,646.6300459170016,,646.6060862920131,646.6300459170016,647.60433487501,647.60433487501,647.6209427090362,648.7662624590448,space,1.154393250006251,None,648.7684249170125,649.1719413336871,649.4806288340478,649.460436375055,649.4626430420321,649.4806288340478,649.4806288340478,649.4806288340478,651.3221274590469,200,1,[1.8411291249794886],[1.841133332985919],p001,001,2025-11-12_10h35.26.886,intentional binding,,2025.1.1,None,2025-11-12 10h35.36.129666 +0530,
0.7,400.0,unexp,132,0,11,space,0.5860853740014136,None,300,1,[1.7597059580148198],[1.7597102080471814],11,0,132,2,651.3296352920006,,651.3223129170365,651.3296352920006,652.3210860420368,652.3210860420368,652.3210860420368,652.9159520000103,space,0.5860853740014136,None,652.9172853340278,653.6204020836778,653.9288694590214,653.9089339170023,653.9109933750005,653.9288694590214,653.9288694590214,653.9288694590214,655.6889880840317,300,1,[1.7597059580148198],[1.7597102080471814],p001,001,2025-11-12_10h35.26.886,intentional binding,,2025.1.1,None,2025-11-12 10h35.36.129666 +0530,
0.1,1000.0,exp,133,1,11,space,0.9537771660252474,None,200,1,[5.043732957972679],[5.043737041996792],11,1,133,9,655.6972352500306,,655.6891776670236,655.6972352500306,656.687264459033,656.687264459033,656.687264459033,657.6495144590153,space,0.9537771660252474,None,657.6509153340012,657.7535178337168,658.0612735840259,658.0417101670173,658.0434485840378,658.0612735840259,658.0612735840259,658.0612735840259,663.1054145420203,200,1,[5.043732957972679],[5.043737041996792],p001,001,2025-11-12_10h35.26.886,intentional binding,,2025.1.1,None,2025-11-12 10h35.36.129666 +0530,
0.7,1000.0,exp,134,2,11,space,0.10239079099847004,None,800,1,[2.4584611659520306],[2.458465415984392],11,2,134,5,663.1132358340546,,663.1056633749977,663.1132358340546,664.0975994590553,664.0975994590553,664.1041803749977,664.2058086250327,space,0.10239079099847004,None,664.2073324590456,664.904997875685,665.2133279170375,665.1923902090057,665.1944039590308,665.2133279170375,665.2133279170375,665.2133279170375,667.6721682500211,800,1,[2.4584611659520306],[2.458465415984392],p001,001,2025-11-12_10h35.26.886,intentional binding,,2025.1.1,None,2025-11-12 10h35.36.129666 +0530,
0.7,1000.0,exp,135,3,11,space,0.44327762397006154,None,500,1,[3.06499691598583],[3.065001957991626],11,3,135,8,667.6799504170194,,667.672347292013,667.6799504170194,668.6705643750029,668.6705643750029,668.6705643750029,669.1162123750546,space,0.44327762397006154,None,669.1178106250009,669.815398875686,670.1235421250458,670.1024791670498,670.1048783340375,670.1235421250458,670.1235421250458,670.1235421250458,673.1889168340131,500,1,[3.06499691598583],[3.065001957991626],p001,001,2025-11-12_10h35.26.886,intentional binding,,2025.1.1,None,2025-11-12 10h35.36.129666 +0530,
0.7,1000.0,exp,136,4,11,space,2.882674874039367,None,700,1,[1.1832602499634959],[1.1832657079794444],11,4,136,11,673.1973093340057,,673.1891256250092,673.1973093340057,674.1879814590211,674.1879814590211,674.1879814590211,677.0734491670155,space,2.882674874039367,None,677.0751890840475,677.7808832507037,678.088881209027,678.0687436250155,678.0709768340457,678.088881209027,678.088881209027,678.088881209027,679.2725531670148,700,1,[1.1832602499634959],[1.1832657079794444],p001,001,2025-11-12_10h35.26.886,intentional binding,,2025.1.1,None,2025-11-12 10h35.36.129666 +0530,
0.1,1000.0,exp,137,5,11,space,1.079611582972575,None,200,1,[2.2172441669972613],[2.217248582979664],11,5,137,3,679.2969713750063,,679.2727403750177,679.2969713750063,680.2709318750422,680.2709318750422,680.2874269169988,681.3558556670323,space,1.079611582972575,None,681.3571483340347,681.4646057916727,681.771782374999,681.7522085840465,681.7544370840187,681.771782374999,681.771782374999,681.771782374999,683.9894350840477,200,1,[2.2172441669972613],[2.217248582979664],p001,001,2025-11-12_10h35.26.886,intentional binding,,2025.1.1,None,2025-11-12 10h35.36.129666 +0530,
0.1,1000.0,exp,138,6,11,space,1.9758900820161216,None,200,1,[2.132193166005891],[2.1321974999736995],11,6,138,6,683.9967685840093,,683.9896180000505,683.9967685840093,684.9876308340463,684.9876308340463,684.9876308340463,686.9654088340467,space,1.9758900820161216,None,686.9670055000461,687.0651831667094,687.3732847089996,687.3525537920068,687.3547132500098,687.3732847089996,687.3732847089996,687.3732847089996,689.5058660420473,200,1,[2.132193166005891],[2.1321974999736995],p001,001,2025-11-12_10h35.26.886,intentional binding,,2025.1.1,None,2025-11-12 10h35.36.129666 +0530,
0.4,1000.0,exp,139,7,11,space,1.32328004098963,None,200,1,[1.3444815420079976],[1.3444859169539995],11,7,139,7,689.5138870000374,,689.5060498750536,689.5138870000374,690.5049811250065,690.5049811250065,690.5049811250065,691.8325712500373,space,1.32328004098963,None,691.8343602090026,692.2373604587085,692.5442083750386,692.5248499590089,692.5265777500463,692.5442083750386,692.5442083750386,692.5442083750386,693.8890965000028,200,1,[1.3444815420079976],[1.3444859169539995],p001,001,2025-11-12_10h35.26.886,intentional binding,,2025.1.1,None,2025-11-12 10h35.36.129666 +0530,
0.4,1000.0,exp,140,8,11,space,0.4436529579688795,None,700,1,[2.610443707962986],[2.6104489169665612],11,8,140,10,693.8969260840095,,693.8892814590363,693.8969260840095,694.8805150420521,694.8805150420521,694.8881764590042,695.3330504170153,space,0.4436529579688795,None,695.3346435000421,695.7380874587145,696.0449868340511,696.025347125018,696.0270185000263,696.0449868340511,696.0449868340511,696.0449868340511,698.6558417920023,700,1,[2.610443707962986],[2.6104489169665612],p001,001,2025-11-12_10h35.26.886,intentional binding,,2025.1.1,None,2025-11-12 10h35.36.129666 +0530,
0.4,400.0,unexp,141,9,11,space,0.30550199997378513,None,700,1,[1.3819847500417382],[1.3819890830200166],11,9,141,1,698.6642033340177,,698.6560287090251,698.6642033340177,699.6555786670069,699.6555786670069,699.6555786670069,699.9839073340409,space,0.30550199997378513,None,699.9857330000377,700.3881085006908,700.7068462500465,700.6866838340065,700.6888988340506,700.7068462500465,700.7068462500465,700.7068462500465,702.0892036250443,700,1,[1.3819847500417382],[1.3819890830200166],p001,001,2025-11-12_10h35.26.886,intentional binding,,2025.1.1,None,2025-11-12 10h35.36.129666 +0530,
0.4,1000.0,exp,142,10,11,space,0.4345142910024151,None,400,1,[1.5944416670245118],[1.5944456250290386],11,10,142,4,702.097854459018,,702.089402750018,702.097854459018,703.0874599590315,703.0874599590315,703.0874599590315,703.5325987090473,space,0.4345142910024151,None,703.5344948340207,703.9377250417058,704.2448416670086,704.2247705420014,704.2266198340221,704.2448416670086,704.2448416670086,704.2448416670086,705.8396621670108,400,1,[1.5944416670245118],[1.5944456250290386],p001,001,2025-11-12_10h35.26.886,intentional binding,,2025.1.1,None,2025-11-12 10h35.36.129666 +0530,
0.1,400.0,unexp,143,11,11,space,1.5240172909689136,None,490,1,[2.7592473750119098],[2.7592519170138985],11,11,143,0,705.863742125046,,705.8398485000362,705.863742125046,706.8379534170381,706.8379534170381,706.8544779590447,708.3675080420217,space,1.5240172909689136,None,708.3693070000154,708.4819637087096,708.7962781670503,708.7757946670172,708.7778562920284,708.7962781670503,708.7962781670503,708.7962781670503,711.5559439590434,490,1,[2.7592473750119098],[2.7592519170138985],p001,001,2025-11-12_10h35.26.886,intentional binding,,2025.1.1,None,2025-11-12 10h35.36.129666 +0530,
0.7,1000.0,exp,144,0,12,space,2.3202263319981284,None,400,1,[1.497213708003983],[1.497218000004068],12,0,144,11,711.5634004590102,,711.5561743340222,711.5634004590102,712.5545076670242,712.5545076670242,712.5545076670242,714.8830923750065,space,2.3202263319981284,None,714.8848650840227,715.5876771257065,715.8949864170281,715.8748459590133,715.8767478750087,715.8949864170281,715.8949864170281,715.8949864170281,717.3925788750057,400,1,[1.497213708003983],[1.497218000004068],p001,001,2025-11-12_10h35.26.886,intentional binding,,2025.1.1,None,2025-11-12 10h35.36.129666 +0530,
0.4,400.0,unexp,145,1,12,space,0.5633160410216078,None,700,1,[2.383030041004531],[2.383034333004616],12,1,145,1,717.399321792007,,717.392817459011,717.399321792007,718.3884182500187,718.3884182500187,718.3978935420164,718.9564290000126,space,0.5633160410216078,None,718.9579163750168,719.3643957506904,719.672352750029,719.6517820419976,719.6539685419993,719.672352750029,719.672352750029,719.672352750029,722.0557551250095,700,1,[2.383030041004531],[2.383034333004616],p001,001,2025-11-12_10h35.26.886,intentional binding,,2025.1.1,None,2025-11-12 10h35.36.129666 +0530,
0.7,400.0,unexp,146,2,12,space,0.8351762910024263,None,500,1,[1.3764880840317346],[1.3764922090340406],12,2,146,2,722.0637132090051,,722.0559720420279,722.0637132090051,723.0553858340136,723.0553858340136,723.0553858340136,723.8993485000101,space,0.8351762910024263,None,723.9009254170232,724.6054340006706,724.9123857500381,724.8930067500332,724.8950268750195,724.9123857500381,724.9123857500381,724.9123857500381,726.2892532920232,500,1,[1.3764880840317346],[1.3764922090340406],p001,001,2025-11-12_10h35.26.886,intentional binding,,2025.1.1,None,2025-11-12 10h35.36.129666 +0530,
0.4,1000.0,exp,147,3,12,space,0.07851079100510105,None,200,1,[1.3669072500197217],[1.3669116250239313],12,3,147,4,726.2968065840541,,726.289461959037,726.2968065840541,727.287959542009,727.287959542009,727.287959542009,727.3729672500049,space,0.07851079100510105,None,727.3743088750052,727.7806927507083,728.0887668340001,728.0693276670063,728.0714730840409,728.0887668340001,728.0887668340001,728.0887668340001,729.456056791998,200,1,[1.3669072500197217],[1.3669116250239313],p001,001,2025-11-12_10h35.26.886,intentional binding,,2025.1.1,None,2025-11-12 10h35.36.129666 +0530,
0.1,1000.0,exp,148,4,12,space,0.27189258305588737,None,100,1,[1.5425821249955334],[1.5425875410437584],12,4,148,3,729.4639209590387,,729.4562528750394,729.4639209590387,730.454549792048,730.454549792048,730.454549792048,730.732558125048,space,0.27189258305588737,None,730.7339044170221,730.8319770416749,731.1464730840526,731.1261701250332,731.1281995840254,731.1464730840526,731.1464730840526,731.1464730840526,732.6894613340264,100,1,[1.5425821249955334],[1.5425875410437584],p001,001,2025-11-12_10h35.26.886,intentional binding,,2025.1.1,None,2025-11-12 10h35.36.129666 +0530,
0.7,1000.0,exp,149,5,12,space,0.31881379103288054,None,400,1,[1.1588451249990612],[1.1588500419748016],12,5,149,8,732.6974408750539,,732.6896492090309,732.6974408750539,733.688450042042,733.688450042042,733.688450042042,734.016254709044,space,0.31881379103288054,None,734.0177657920285,734.7212118756763,735.0299248340307,735.0099418750033,735.0119802500121,735.0299248340307,735.0299248340307,735.0299248340307,736.189177042048,400,1,[1.1588451249990612],[1.1588500419748016],p001,001,2025-11-12_10h35.26.886,intentional binding,,2025.1.1,None,2025-11-12 10h35.36.129666 +0530,
0.7,1000.0,exp,150,6,12,space,0.7276281660306267,None,400,1,[1.3587091250228696],[1.3587130419909954],12,6,150,5,736.1969790420262,,736.1893738340004,736.1969790420262,737.1805826250347,737.1805826250347,737.1894141250523,737.9162867090199,space,0.7276281660306267,None,737.9176480420283,738.6217688756917,738.9302586670383,738.9096830000053,738.9128377920133,738.9302586670383,738.9302586670383,738.9302586670383,740.2893617920345,400,1,[1.3587091250228696],[1.3587130419909954],p001,001,2025-11-12_10h35.26.886,intentional binding,,2025.1.1,None,2025-11-12 10h35.36.129666 +0530,
