thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
22,0,22,[np.float64(-0.24333333333333335)],[np.float64(-0.16333333333333333)],[1],[0],[0],[0.889339708010084],['target'],22,0,22,0,33.00112075000652,,5,32.994444750002,33.00112075000652,33.00112075000652,0.00926133400935214,33.88383120800427,[np.float64(-0.24333333333333335)],[np.float64(-0.16333333333333333)],[1],[0],[0],[0.889339708010084],['target'],01,001,2025-10-01_18h50.25.373,visual search,,2025.1.1,None,2025-10-01 18h50.33.700932 +0530,
23,0,23,[np.float64(-0.2783333333333333)],[np.float64(-0.19666666666666666)],[1],[0],[0],[0.916604041995015],[None],23,0,23,0,33.91006454099261,,10,33.90142962499522,33.91006454099261,33.91006454099261,0.017474334003054537,34.818073500005994,[np.float64(-0.2783333333333333)],[np.float64(-0.19666666666666666)],[1],[0],[0],[0.916604041995015],[None],01,001,2025-10-01_18h50.25.373,visual search,,2025.1.1,None,2025-10-01 18h50.33.700932 +0530,
24,0,24,[np.float64(-0.185)],[np.float64(0.19333333333333333)],[1],[0],[0],[1.0330042919958942],['target'],24,0,24,0,34.844234832999064,,10,34.83584320799855,34.844234832999064,34.844234832999064,0.017625624997890554,35.86889158299891,[np.float64(-0.185)],[np.float64(0.19333333333333333)],[1],[0],[0],[1.0330042919958942],['target'],01,001,2025-10-01_18h50.25.373,visual search,,2025.1.1,None,2025-10-01 18h50.33.700932 +0530,
25,0,25,[np.float64(0.32666666666666666)],[np.float64(0.39666666666666667)],[1],[0],[0],[1.5492832500021905],['target'],25,0,25,0,35.89430145799997,,10,35.88606412500667,35.89430145799997,35.89430145799997,0.01704108400736004,37.43538858300599,[np.float64(0.32666666666666666)],[np.float64(0.39666666666666667)],[1],[0],[0],[1.5492832500021905],['target'],01,001,2025-10-01_18h50.25.373,visual search,,2025.1.1,None,2025-10-01 18h50.33.700932 +0530,
26,0,26,[np.float64(0.23666666666666666)],[np.float64(-0.24)],[1],[0],[0],[1.3324402079888387],['target'],26,0,26,0,37.46201508300146,,10,37.45299099999829,37.46201508300146,37.46201508300146,0.017464667005697265,38.785466040993924,[np.float64(0.23666666666666666)],[np.float64(-0.24)],[1],[0],[0],[1.3324402079888387],['target'],01,001,2025-10-01_18h50.25.373,visual search,,2025.1.1,None,2025-10-01 18h50.33.700932 +0530,
27,0,27,[np.float64(-0.065)],[np.float64(-0.07166666666666667)],[1],[0],[0],[1.2489706670021405],['target'],27,0,27,0,38.81264874999761,,10,38.803153500004555,38.81264874999761,38.81264874999761,0.017557915998622775,40.05217245800304,[np.float64(-0.065)],[np.float64(-0.07166666666666667)],[1],[0],[0],[1.2489706670021405],['target'],01,001,2025-10-01_18h50.25.373,visual search,,2025.1.1,None,2025-10-01 18h50.33.700932 +0530,
28,0,28,[np.float64(0.2683333333333333)],[np.float64(-0.3283333333333333)],[1],[0],[0],[1.6660384580027312],['target'],28,0,28,0,40.07790616599959,,10,40.06930408299377,40.07790616599959,40.07790616599959,0.01698645800934173,41.735383958002785,[np.float64(0.2683333333333333)],[np.float64(-0.3283333333333333)],[1],[0],[0],[1.6660384580027312],['target'],01,001,2025-10-01_18h50.25.373,visual search,,2025.1.1,None,2025-10-01 18h50.33.700932 +0530,
29,0,29,[np.float64(-0.1)],[np.float64(0.105)],[1],[0],[0],[0.7658954590006033],['target'],29,0,29,0,41.76148308299889,,10,41.75279054099519,41.76148308299889,41.76148308299889,0.01726108400907833,42.518721208005445,[np.float64(-0.1)],[np.float64(0.105)],[1],[0],[0],[0.7658954590006033],['target'],01,001,2025-10-01_18h50.25.373,visual search,,2025.1.1,None,2025-10-01 18h50.33.700932 +0530,
30,0,30,[np.float64(-0.18333333333333332)],[np.float64(-0.39166666666666666)],[1],[0],[0],[1.1900415000127396],['target'],30,0,30,0,42.53503924999677,,5,42.52815812500194,42.53503924999677,42.53503924999677,0.009295957992435433,43.71824425000523,[np.float64(-0.18333333333333332)],[np.float64(-0.39166666666666666)],[1],[0],[0],[1.1900415000127396],['target'],01,001,2025-10-01_18h50.25.373,visual search,,2025.1.1,None,2025-10-01 18h50.33.700932 +0530,
31,0,31,[np.float64(-0.42333333333333334)],[np.float64(0.41)],[1],[0],[0],[1.0330463330028579],['target'],31,0,31,0,43.74512233299902,,10,43.735916207995615,43.74512233299902,43.74512233299902,0.017514499995741062,44.769002040993655,[np.float64(-0.42333333333333334)],[np.float64(0.41)],[1],[0],[0],[1.0330463330028579],['target'],01,001,2025-10-01_18h50.25.373,visual search,,2025.1.1,None,2025-10-01 18h50.33.700932 +0530,
32,0,32,[np.float64(0.05)],[np.float64(-0.37)],[1],[0],[0],[1.4072126669925638],['target'],32,0,32,0,44.78496191599697,,5,44.77810120799404,44.78496191599697,44.78496191599697,0.008962749998318031,46.18536404099723,[np.float64(0.05)],[np.float64(-0.37)],[1],[0],[0],[1.4072126669925638],['target'],01,001,2025-10-01_18h50.25.373,visual search,,2025.1.1,None,2025-10-01 18h50.33.700932 +0530,
33,0,33,[np.float64(0.03666666666666667)],[np.float64(0.235)],[1],[0],[0],[1.1729146669968031],['target'],33,0,33,0,46.2024324160011,,5,46.195227916003205,46.2024324160011,46.2024324160011,0.009748875003424473,47.36818566599686,[np.float64(0.03666666666666667)],[np.float64(0.235)],[1],[0],[0],[1.1729146669968031],['target'],01,001,2025-10-01_18h50.25.373,visual search,,2025.1.1,None,2025-10-01 18h50.33.700932 +0530,
34,0,34,[np.float64(-0.185)],[np.float64(0.4666666666666667)],[1],[0],[0],[1.1070306670007994],['target'],34,0,34,0,47.38378787500551,,5,47.37758983300591,47.38378787500551,47.38378787500551,0.0092802080034744,48.484667500000796,[np.float64(-0.185)],[np.float64(0.4666666666666667)],[1],[0],[0],[1.1070306670007994],['target'],01,001,2025-10-01_18h50.25.373,visual search,,2025.1.1,None,2025-10-01 18h50.33.700932 +0530,
35,0,35,[np.float64(0.04833333333333333)],[np.float64(0.34833333333333333)],[1],[0],[0],[1.2905306669999845],['target'],35,0,35,0,48.500438666000264,,5,48.49400454100396,48.500438666000264,48.500438666000264,0.009213083001668565,49.78457991599862,[np.float64(0.04833333333333333)],[np.float64(0.34833333333333333)],[1],[0],[0],[1.2905306669999845],['target'],01,001,2025-10-01_18h50.25.373,visual search,,2025.1.1,None,2025-10-01 18h50.33.700932 +0530,
36,0,36,[np.float64(-0.18833333333333332)],[np.float64(0.05)],[1],[0],[0],[1.1747029170073802],['target'],36,0,36,0,49.801174332998926,,5,49.79394812499231,49.801174332998926,49.801174332998926,0.009220708001521416,50.968702707992634,[np.float64(-0.18833333333333332)],[np.float64(0.05)],[1],[0],[0],[1.1747029170073802],['target'],01,001,2025-10-01_18h50.25.373,visual search,,2025.1.1,None,2025-10-01 18h50.33.700932 +0530,
37,0,37,[np.float64(-0.16333333333333333)],[np.float64(-0.24166666666666667)],[1],[0],[0],[1.2828477500006557],['target'],37,0,37,0,50.99448387499433,,10,50.985982375001186,50.99448387499433,50.99448387499433,0.01716337499965448,52.26886970800115,[np.float64(-0.16333333333333333)],[np.float64(-0.24166666666666667)],[1],[0],[0],[1.2828477500006557],['target'],01,001,2025-10-01_18h50.25.373,visual search,,2025.1.1,None,2025-10-01 18h50.33.700932 +0530,
38,0,38,[np.float64(-0.3466666666666667)],[np.float64(0.09666666666666666)],[1],[0],[0],[0.9904373329918599],['target'],38,0,38,0,52.284549457996036,,5,52.278248290997,52.284549457996036,52.284549457996036,0.009231375006493181,53.2687342499994,[np.float64(-0.3466666666666667)],[np.float64(0.09666666666666666)],[1],[0],[0],[0.9904373329918599],['target'],01,001,2025-10-01_18h50.25.373,visual search,,2025.1.1,None,2025-10-01 18h50.33.700932 +0530,
39,0,39,[np.float64(-0.045)],[np.float64(-0.15166666666666667)],[1],[0],[0],[1.299182832997758],['target'],39,0,39,0,53.29457666599774,,10,53.286239958004444,53.29457666599774,53.29457666599774,0.017378582997480407,54.585468290999415,[np.float64(-0.045)],[np.float64(-0.15166666666666667)],[1],[0],[0],[1.299182832997758],['target'],01,001,2025-10-01_18h50.25.373,visual search,,2025.1.1,None,2025-10-01 18h50.33.700932 +0530,
40,0,40,[np.float64(0.105)],[np.float64(-0.12)],[1],[0],[0],[1.0332324170012726],['target'],40,0,40,0,54.6108818329958,,10,54.602640625002095,54.6108818329958,54.6108818329958,0.01704295800300315,55.635917583000264,[np.float64(0.105)],[np.float64(-0.12)],[1],[0],[0],[1.0332324170012726],['target'],01,001,2025-10-01_18h50.25.373,visual search,,2025.1.1,None,2025-10-01 18h50.33.700932 +0530,
41,0,41,[np.float64(-0.39666666666666667)],[np.float64(-0.10666666666666667)],[1],[0],[0],[1.9727235829923302],['target'],41,0,41,0,55.65256866600248,,5,55.645640957998694,55.65256866600248,55.65256866600248,0.009575207994203083,57.618415958000696,[np.float64(-0.39666666666666667)],[np.float64(-0.10666666666666667)],[1],[0],[0],[1.9727235829923302],['target'],01,001,2025-10-01_18h50.25.373,visual search,,2025.1.1,None,2025-10-01 18h50.33.700932 +0530,
42,0,42,[np.float64(0.48)],[np.float64(-0.21333333333333335)],[1],[0],[0],[1.1402391669980716],['target'],42,0,42,0,57.63491308300581,,5,57.62793433299521,57.63491308300581,57.63491308300581,0.00938841700553894,58.76821295800619,[np.float64(0.48)],[np.float64(-0.21333333333333335)],[1],[0],[0],[1.1402391669980716],['target'],01,001,2025-10-01_18h50.25.373,visual search,,2025.1.1,None,2025-10-01 18h50.33.700932 +0530,
